date_est,year,month,day,year_month,yy_mm,yy_mmm,PM
2013-03-17,2013,3,17,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-18,2013,3,18,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-19,2013,3,19,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-20,2013,3,20,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-21,2013,3,21,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-22,2013,3,22,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-23,2013,3,23,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-24,2013,3,24,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-25,2013,3,25,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-26,2013,3,26,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-27,2013,3,27,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-28,2013,3,28,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-29,2013,3,29,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-30,2013,3,30,20133,2013-03,2013-Mar,Shinzo_Abe
2013-03-31,2013,3,31,20133,2013-03,2013-Mar,Shinzo_Abe
2013-04-01,2013,4,1,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-02,2013,4,2,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-03,2013,4,3,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-04,2013,4,4,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-05,2013,4,5,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-06,2013,4,6,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-07,2013,4,7,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-08,2013,4,8,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-09,2013,4,9,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-10,2013,4,10,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-11,2013,4,11,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-12,2013,4,12,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-13,2013,4,13,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-14,2013,4,14,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-15,2013,4,15,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-16,2013,4,16,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-17,2013,4,17,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-18,2013,4,18,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-19,2013,4,19,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-20,2013,4,20,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-21,2013,4,21,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-22,2013,4,22,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-23,2013,4,23,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-24,2013,4,24,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-25,2013,4,25,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-26,2013,4,26,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-27,2013,4,27,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-28,2013,4,28,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-29,2013,4,29,20134,2013-04,2013-Apr,Shinzo_Abe
2013-04-30,2013,4,30,20134,2013-04,2013-Apr,Shinzo_Abe
2013-05-01,2013,5,1,20135,2013-05,2013-May,Shinzo_Abe
2013-05-02,2013,5,2,20135,2013-05,2013-May,Shinzo_Abe
2013-05-03,2013,5,3,20135,2013-05,2013-May,Shinzo_Abe
2013-05-04,2013,5,4,20135,2013-05,2013-May,Shinzo_Abe
2013-05-05,2013,5,5,20135,2013-05,2013-May,Shinzo_Abe
2013-05-06,2013,5,6,20135,2013-05,2013-May,Shinzo_Abe
2013-05-07,2013,5,7,20135,2013-05,2013-May,Shinzo_Abe
2013-05-08,2013,5,8,20135,2013-05,2013-May,Shinzo_Abe
2013-05-09,2013,5,9,20135,2013-05,2013-May,Shinzo_Abe
2013-05-10,2013,5,10,20135,2013-05,2013-May,Shinzo_Abe
2013-05-11,2013,5,11,20135,2013-05,2013-May,Shinzo_Abe
2013-05-12,2013,5,12,20135,2013-05,2013-May,Shinzo_Abe
2013-05-13,2013,5,13,20135,2013-05,2013-May,Shinzo_Abe
2013-05-14,2013,5,14,20135,2013-05,2013-May,Shinzo_Abe
2013-05-15,2013,5,15,20135,2013-05,2013-May,Shinzo_Abe
2013-05-16,2013,5,16,20135,2013-05,2013-May,Shinzo_Abe
2013-05-17,2013,5,17,20135,2013-05,2013-May,Shinzo_Abe
2013-05-18,2013,5,18,20135,2013-05,2013-May,Shinzo_Abe
2013-05-19,2013,5,19,20135,2013-05,2013-May,Shinzo_Abe
2013-05-20,2013,5,20,20135,2013-05,2013-May,Shinzo_Abe
2013-05-21,2013,5,21,20135,2013-05,2013-May,Shinzo_Abe
2013-05-22,2013,5,22,20135,2013-05,2013-May,Shinzo_Abe
2013-05-23,2013,5,23,20135,2013-05,2013-May,Shinzo_Abe
2013-05-24,2013,5,24,20135,2013-05,2013-May,Shinzo_Abe
2013-05-25,2013,5,25,20135,2013-05,2013-May,Shinzo_Abe
2013-05-26,2013,5,26,20135,2013-05,2013-May,Shinzo_Abe
2013-05-27,2013,5,27,20135,2013-05,2013-May,Shinzo_Abe
2013-05-28,2013,5,28,20135,2013-05,2013-May,Shinzo_Abe
2013-05-29,2013,5,29,20135,2013-05,2013-May,Shinzo_Abe
2013-05-30,2013,5,30,20135,2013-05,2013-May,Shinzo_Abe
2013-05-31,2013,5,31,20135,2013-05,2013-May,Shinzo_Abe
2013-06-01,2013,6,1,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-02,2013,6,2,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-03,2013,6,3,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-04,2013,6,4,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-05,2013,6,5,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-06,2013,6,6,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-07,2013,6,7,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-08,2013,6,8,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-09,2013,6,9,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-10,2013,6,10,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-11,2013,6,11,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-12,2013,6,12,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-13,2013,6,13,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-14,2013,6,14,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-15,2013,6,15,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-16,2013,6,16,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-17,2013,6,17,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-18,2013,6,18,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-19,2013,6,19,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-20,2013,6,20,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-21,2013,6,21,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-22,2013,6,22,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-23,2013,6,23,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-24,2013,6,24,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-25,2013,6,25,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-26,2013,6,26,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-27,2013,6,27,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-28,2013,6,28,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-29,2013,6,29,20136,2013-06,2013-Jun,Shinzo_Abe
2013-06-30,2013,6,30,20136,2013-06,2013-Jun,Shinzo_Abe
