,PM,date,publish_date,activities
296,Shinzo_Abe,10月26日,2013-10-27,▽9時57分　防衛省で自衛隊殉職隊員追悼式。▽11時20分　公邸で衛藤補佐官。▽11時56分　ホテルオークラの日本料理店「山里」でタイのタクシン元首相。補佐官が同席。▽13時9分　公邸で長谷川補佐官。▽14時47分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時33分　ホテルグランドパレスで山口県出身者でつくる「長州友の会」。▽20時5分　富ケ谷の私邸着。 
303,Shinzo_Abe,11月2日,2013-11-03,　午前中は公邸で過ごす。▽13時23分　ロシアのラブロフ外相、ショイグ国防相。岸田外相、小野寺防衛相が同席。▽14時42分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時9分　富ケ谷の私邸着。▽18時21分　私邸発。▽18時43分　公邸着。 
323,Shinzo_Abe,11月23日,2013-11-24,▽11時55分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時19分　六本木の「ＴＯＨＯシネマズ六本木ヒルズ」で母洋子さんと映画「清須会議」を観賞。▽18時19分　公邸で米村危機管理監、兼原、高見沢両官房副長官補。▽19時1分　皇居で新嘗祭神嘉殿の儀。▽20時49分　富ケ谷の私邸着。 
350,Shinzo_Abe,12月21日,2013-12-22,▽11時2分　富ケ谷の私邸発。▽11時17分　官邸で内閣府の西村副大臣、松元次官。続いて麻生財務相、財務省の木下次官、香川主計局長。▽12時6分　政府与党政策懇談会。▽12時40分　ザ・キャピトルホテル東急のレストラン「ＯＲＩＧＡＭＩ」で秘書官。▽13時32分　日本橋室町の日本橋三越本店で「2013年報道写真展」。▽13時58分　公邸で作詞家の秋元康氏ら。▽15時13分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽19時13分　私邸着。 
360,Shinzo_Abe,12月31日,2014-01-01,▽10時45分　宿泊先のグランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽14時51分　六本木の「ＴＯＨＯシネマズ六本木ヒルズ」で昭恵夫人らと映画「永遠の0」を鑑賞。▽18時32分　同ホテルのステーキ店「オークドア」で昭恵夫人ら。宿泊。 
361,Shinzo_Abe,1月1日・2日,2014-01-03,〈1日〉▽10時28分　宿泊先のグランドハイアット東京発。▽10時39分　皇居で新年祝賀の儀。昭恵夫人が同席。▽11時30分　同ホテル着。▽13時10分　同ホテルの「ＮＡＧＯＭＩスパアンドフィットネス」。宿泊。〈2日〉▽11時25分　「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時15分　品川プリンスホテルの映画館「品川プリンスシネマ」で昭恵夫人らと映画「武士の献立」を鑑賞。▽17時49分　グランドハイアット東京着。宿泊。 
391,Shinzo_Abe,2月1日,2014-02-02,　午前中は富ケ谷の私邸で過ごす。▽14時50分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時11分　私邸着。 
401,Shinzo_Abe,2月11日,2014-02-12,　午前中は富ケ谷の私邸で過ごす。▽14時22分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時4分　私邸着。 
419,Shinzo_Abe,3月1日,2014-03-02,　午前中は公邸で過ごす。▽14時52分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時34分　富ケ谷の私邸着。 
440,Shinzo_Abe,3月22日,2014-03-23,▽9時23分　陸自ヘリで官邸発。▽9時40分　神奈川県横須賀市の防衛大学校着。この後、小野寺防衛相、国分良成校長ら。▽10時5分　同校卒業式。▽12時30分　防衛相、校長ら。▽13時4分　陸自ヘリで同校発。▽13時20分　官邸着。▽13時40分　富ケ谷の私邸着。▽14時56分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時35分　私邸着。 
447,Shinzo_Abe,3月29日,2014-03-30,　午前中は公邸で過ごす。▽12時57分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽14時40分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時16分　富ケ谷の私邸着。 
509,Shinzo_Abe,6月1日,2014-06-02,▽9時37分　富ケ谷の私邸発。▽9時51分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時10分　私邸着。 
528,Shinzo_Abe,6月21日,2014-06-22,　午前中は富ケ谷の私邸で過ごす。▽14時21分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時7分　私邸で報道各社のインタビュー。　記者団「富岡製糸場が世界文化遺産に決まったが」　首相「海外からもたくさんの人たちが訪れることを楽しみにしている」 
556,Shinzo_Abe,7月20日,2014-07-21,▽7時59分　山口県下関市の自宅発。▽9時6分　全日空3876便で北九州空港発。▽10時21分　羽田空港着。▽11時7分　パシフィコ横浜で日本青年会議所主催の「サマーコンファレンス2014」。▽12時41分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時33分　富ケ谷の私邸着。 
