date_est,year_month,year,month,day,year_month,yy_mm,yy_mmm,PM,haircut,walking,golf,massage,interview,air_force_one,date,activities
2013-01-05,20131.0,2013,1,5,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月5日,▽10時31分　富ケ谷の私邸発。▽11時29分　千葉県松戸市の霊園で政治評論家の故三宅久之氏の墓参り。▽12時38分　ザ・キャピトルホテル東急のレストラン「オリガミ」で首相秘書官。続いて石原環境相。▽13時32分　官邸で米村危機管理監、北村情報官、北村海上保安庁長官、西村警察庁警備局長、平松外務省総合外交政策局長ら。▽15時　本田内閣参与。この後、河相外務次官。▽16時　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時4分　東麻布のうなぎ専門店「五代目野田岩」で俳優の津川雅彦氏ら。▽20時43分　私邸着。 
2013-01-06,20131.0,2013,1,6,20131.0,2013-01,2013-Jan,Shinzo_Abe,YES!,No,No,No,No,No,1月6日,　午前中は富ケ谷の私邸で過ごす。▽13時30分　すしチェーン店「すしざんまい」経営の木村清「喜代村」社長。▽13時55分　渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」で散髪。▽15時56分　私邸で麻生副総理。 
2013-01-07,20131.0,2013,1,7,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月7日,▽9時36分　党本部で新年仕事始め。▽10時5分　党役員会。▽10時41分　官邸着。▽11時2分　内閣府本府で日本経済再生総合事務局の看板かけ。甘利経済再生相が同席。▽11時26分　官邸で黒田アジア開発銀行総裁。入れ替わりに北村情報官、下平衛星情報センター所長。情報官が残る。▽11時52分　古屋拉致担当相、三谷拉致問題対策本部事務局長代理。▽12時4分　政府与党連絡会議。▽13時13分　大手町の経団連会館で石油連盟の新年賀詞交歓会。▽13時38分　帝国ホテルで経済3団体共催の新年祝賀パーティー。▽14時47分　官邸で麻生財務相、財務省の真砂次官、木下主計局長、田中主税局長。▽15時29分　甘利経済再生相、松元内閣府次官、松山内閣府審議官。▽16時9分　東日暮里のホテルラングウッドで連合の新年交歓会。▽16時42分　ホテルオークラで自動車工業会の新年賀詞交歓会。▽17時4分　官邸で額賀元財務相、河村選対委員長、逢沢元国対委員長。▽17時38分　帝国ホテルで時事通信社、内外情勢調査会など主催の新年互礼会。▽18時23分　パレスホテル東京の日本料理店「和田倉」で渡辺恒雄読売新聞グループ本社会長。菅官房長官が同席。▽21時33分　富ケ谷の私邸着。 
2013-01-08,20131.0,2013,1,8,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月8日,▽9時11分　富ケ谷の私邸発。▽9時32分　官邸で麻生財務相、真砂財務次官。続いて古屋国家公安委員長。▽10時5分　閣議。この後、日本経済再生本部。▽10時51分　日本オリンピック委員会の竹田恒和会長、女子レスリングの吉田沙保里選手ら。下村文科相らが同席。▽11時7分　文科相、遠藤利明衆院議員。入れ替わりに柳本卓治元衆院議員。▽14時19分　岸田外相。根本復興相が続く。▽15時12分　文科相。続いて小野寺防衛相、金沢防衛次官。▽16時47分　全国知事会長の山田京都府知事ら。▽17時31分　仲井真沖縄県知事。菅官房長官、山本沖縄・北方相らが同席。▽19時　ＡＮＡインターコンチネンタルホテル東京の日本料理店「雲海」で産経新聞の清原武彦会長、熊坂隆光社長。▽21時29分　私邸着。 
2013-01-09,20131.0,2013,1,9,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月9日,▽8時57分　富ケ谷の私邸発。▽9時23分　官邸で外務省の杉山アジア大洋州局長。▽10時31分　中日新聞・東京新聞のインタビュー。▽11時26分　政府広報のラジオ番組収録。▽12時　潘基文国連事務総長と電話。斎木外務審議官が残る。▽14時　石井準一参院議員。続いて山口県の松浦正人防府市長。▽14時31分　韓日議員連盟の黄祐呂会長。▽15時19分　佐藤福島県知事。▽15時54分　ホテルニューオータニで日本生産性本部の新年互礼会。▽16時55分　官邸でオランド仏大統領と電話。▽17時10分　高市政調会長。続いて日本医師会の横倉義武会長。▽17時44分　伊藤元重東大教授ら経済財政諮問会議民間議員に辞令交付。▽18時1分　経済財政諮問会議。▽19時2分　麻生財務相。▽19時31分　外務省の河相次官、斎木外務審議官、伊原北米局長、菅官房長官。▽20時26分　四谷の焼肉店「龍月園」で秘書官ら。▽22時47分　私邸着。 
2013-01-10,20131.0,2013,1,10,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月10日,▽8時47分　富ケ谷の私邸発。▽9時7分　官邸で麻生財務相、財務省の真砂次官、木下主計局長、田中主税局長、古沢理財局長。▽9時52分　甘利経済再生相、内閣府の松元次官、松山内閣府審議官。再生相が残る。▽10時15分　外務省の河相次官、斎木外務審議官。杉山アジア大洋州局長が加わる。▽12時10分　ホテルニューオータニでＮＰＯ・ＹＰＯ賀詞交歓会。▽12時36分　丸の内の東京会館で全国菓子工業組合連合会新年会。▽13時12分　官邸で復興推進会議。▽13時54分　河相次官。▽14時16分　村井宮城県知事。小野寺防衛相、秋葉復興副大臣が同席。▽14時26分　根本復興相。▽15時30分　国際原子力機関の天野事務局長。▽15時59分　ホテルオークラで日本税理士会連合会新年賀詞交歓会。▽16時30分　官邸で山口県の山本知事、福田岩国市長、柳居県議会議長ら。岸信夫衆院議員が同席。▽17時3分　緊急経済対策に関する政府与党会議。▽17時45分　米村危機管理監、北村情報官。情報官が残る。▽18時22分　日本経済新聞のインタビュー。▽19時40分　赤坂の日本料理店「赤坂　陽羅野家」で時事通信社の田崎史郎解説委員ら。▽21時54分　私邸着。 
2013-01-11,20131.0,2013,1,11,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月11日,▽8時16分　富ケ谷の私邸発。▽8時39分　官邸で加藤、世耕両官房副長官。▽9時18分　日本経済再生本部。続いて閣議。▽9時51分　記者会見。▽11時17分　全日空21便で羽田空港発。世耕副長官が同行。▽12時5分　伊丹空港着。▽12時39分　大阪市のホテルニューオータニ大阪で松井大阪府知事、橋下大阪市長。▽13時10分　読売テレビで番組収録。▽15時13分　神戸市の理化学研究所の計算科学研究機構を視察。野依良治理研理事長らが出迎え。▽15時49分　理研の発生・再生科学総合研究センターを視察。▽16時25分　野依理事長、山中伸弥京大教授ら。この後、報道各社のインタビュー。▽17時46分　兵庫県尼崎市の薄板ばね製造会社「特発三協製作所」を視察。続いて中小企業の経営者らと懇談。鈴木中小企業庁長官らが同席。▽19時13分　全日空38便で伊丹空港発。▽19時56分　羽田空港着。▽20時46分　渋谷区大山町の柳井正ファーストリテイリング会長宅で柳井会長。▽22時33分　私邸着。 
2013-01-12,20131.0,2013,1,12,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月12日,▽7時15分　富ケ谷の私邸発。▽7時56分　はやて103号でＪＲ東京駅発。▽9時37分　ＪＲ仙台駅着。根本復興相が同行。▽10時51分　宮城県石巻市の造船会社「ヤマニシ」を視察。村井宮城県知事らが同行。▽11時30分　同市の日本製紙石巻工場を視察。▽12時3分　同市の水産加工会社「スイシン」を視察。▽13時38分　宮城県岩沼市の竹駒神社参集殿で昼食。▽14時24分　同市の防災集団移転事業の造成現場を視察。▽14時53分　宮城県亘理町の民家で被災者と懇談。続いて報道各社のインタビュー。▽15時16分　同町の仮設商店街、仮設住宅を視察。この後、仮設住宅内の集会所で入居者と懇談。▽16時22分　報道各社のインタビュー。▽17時44分　はやて110号でＪＲ仙台駅発。▽19時27分　ＪＲ東京駅着。▽20時　私邸着。 
2013-01-13,20131.0,2013,1,13,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,YES!,No,1月13日,▽8時17分　富ケ谷の私邸発。▽9時1分　紀尾井町のＮＨＫ千代田放送会館で番組に出演。▽9時51分　私邸着。▽11時9分　代々木神園町の明治神宮を参拝。昭恵夫人、萩生田光一衆院議員が同行。続いて報道各社のインタビュー。▽12時2分　私邸着。▽13時56分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽18時5分　私邸で新党改革の荒井幹事長。 
2013-01-14,20131.0,2013,1,14,20131.0,2013-01,2013-Jan,Shinzo_Abe,No,No,No,No,No,No,1月14日,▽11時43分　富ケ谷の私邸発。▽12時5分　ホテルオークラでトム・ダシュル元米民主党上院院内総務、トーケル・パターソン元米国家安全保障会議アジア上級部長。▽13時52分　公邸で菅官房長官、世耕官房副長官、斎木外務審議官、佐々木経産審議官、谷口元外務副報道官ら。▽17時43分　私邸着。 
