date_est,year_month,year,month,day,year_month,yy_mm,yy_mmm,PM,haircut,walking,golf,massage,interview,air_force_one,date,activities
2020-09-26,20209.0,2020,9,26,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,No,No,No,YES!,No,9月26日,▽7時28分　東京・赤坂の衆院議員宿舎発。45分　ＪＲ上野駅。▽11時5分　ひたち3号でＪＲ大野駅。平沢復興相同行。内堀雅雄福島県知事ら出迎え。15分　福島県大熊、双葉両町の東京電力福島第1原発。小早川智明東京電力ホールディングス社長ら出迎え。視察。復興相、福島県知事らと昼食。▽13時24分　双葉町の「東日本大震災・原子力災害伝承館」。菅家一郎、吉野正芳両衆院議員、高村昇館長ら出迎え。展示を視察。森雅子前法相同行。▽14時29分　同県広野町の県立ふたば未来学園中学・高校。上杉謙太郎衆院議員、柳沼英樹校長ら出迎え。生徒と懇談、記念撮影。▽15時1分　報道各社のインタビュー。53分　ＪＲいわき駅。▽18時44分　ひたち22号でＪＲ東京駅。59分　東京・赤坂の衆院議員宿舎。 
2020-09-27,20209.0,2020,9,27,20209.0,2020-09,2020-Sep,Yoshihide_Suga,YES!,No,No,No,No,No,9月27日,▽10時22分　東京・赤坂の衆院議員宿舎発。27分　東京・永田町のザ・キャピトルホテル東急。スパ＆バーバー「カージュラジャ　ティアド」で散髪。中国料理店「星ケ岡」で秘書官と食事。▽13時38分　東京・平河町の都市センターホテル。宴会場「コスモスホール」で第13回公明党大会に出席し、あいさつ。▽14時17分　ザ・キャピトルホテル東急。25分　全国地方銀行協会の大矢恭好会長。▽15時　渡瀬裕哉早稲田大公共政策研究所招聘研究員。40分　水野弘道経産省参与。▽16時28分　東京・赤坂の衆院議員宿舎。 
2020-09-28,20209.0,2020,9,28,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,No,No,9月28日,▽6時38分　東京・赤坂の衆院議員宿舎発。42分　官邸。官邸の敷地内を散歩。▽7時28分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で秘書官と打ち合わせ。▽8時38分　衆院第2議員会館。▽9時18分　官邸。▽10時2分　北村国家安全保障局長、秋葉外務次官。11分　国家安全保障局長、滝沢内閣情報官。13分　国家安全保障局長。17分　山口選対委員長。▽11時58分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。レストラン「オーキッド」で高島宗一郎福岡市長と会食。▽13時6分　官邸。▽14時31分　国家安全保障局長、鈴木外務審議官、岡村財務官。58分　西村宮内庁長官、宮田文化庁長官。▽15時16分　金融庁の氷見野長官、中島総合政策局長、古沢企画市場局長。32分　公明党の山口那津男代表、斉藤鉄夫副代表、石井啓一幹事長。▽17時28分　衆院第2議員会館。▽18時2分　東京・芝公園の東京プリンスホテル。宴会場「鳳凰の間」で自民党細田派のパーティーに出席し、あいさつ。25分　東京・東麻布の中国料理店「富麗華」。二階幹事長、佐藤総務会長、下村政調会長ら党役員会メンバーと会食。▽19時41分　東京・西大井の迎賓施設「志高荘」。似鳥昭雄ニトリホールディングス会長らと会食。▽20時59分　東京・赤坂の衆院議員宿舎。 
2020-09-29,20209.0,2020,9,29,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,YES!,No,9月29日,▽6時39分　東京・赤坂の衆院議員宿舎発。42分　官邸。官邸の敷地内を散歩。▽7時25分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で山田内閣広報官と会食。▽8時39分　官邸。▽9時11分　党本部。15分　元宿仁党事務総長、新田嘉一平田牧場グループ会長。26分　二階幹事長。34分　党役員会。51分　官邸。▽10時1分　閣議。12分　河野行革相。27分　平井デジタル相、藤井官房副長官補。43分　西村経財相。▽11時36分　衆院第2議員会館。38分　御法川信英衆院議員。▽12時7分　官邸。▽13時31分　観光戦略実行推進会議。▽14時32分　北朝鮮による拉致被害者家族会の飯塚繁雄代表、横田早紀江さんらと面会。加藤官房長官ら同席。▽15時52分　小此木防災相。▽16時6分　滝沢内閣情報官、横尾公安調査庁次長。12分　内閣情報官。33分　古賀信行経団連審議員会議長、三村明夫日本商工会議所会頭、桜田謙悟経済同友会代表幹事ら。54分　鈴木宗男日本維新の会参院議員。▽17時8分　北村国家安全保障局長、秋葉外務次官、島田防衛次官。50分　国家安全保障局長。▽19時1分　ロシアのプーチン大統領と電話。27分　報道各社のインタビュー。55分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。中国料理店「桃花林」で秘書官と食事。▽20時52分　東京・赤坂の衆院議員宿舎。 
2020-09-30,20209.0,2020,9,30,20209.0,2020-09,2020-Sep,Yoshihide_Suga,No,YES!,No,No,No,No,9月30日,▽6時41分　東京・赤坂の衆院議員宿舎発。44分　官邸。官邸の敷地内を散歩。▽7時25分　東京・永田町のザ・キャピトルホテル東急。宴会場「桐」で阿部俊則住宅生産団体連合会会長と会食。和泉補佐官同席。▽8時30分　衆院第2議員会館。54分　官邸。▽10時　カナダのトルドー首相と電話。22分　石井浩郎参院議員。52分　党外国人労働者等特別委員会の片山委員長、田畑事務局長代行。▽14時15分　平田参与。33分　福井トシ子日本看護協会会長、大島敏子日本看護連盟会長。58分　東京・虎ノ門のオフィスビル「東京虎ノ門グローバルスクエア」。▽15時　デジタル改革関連法案準備室の職員に訓示。12分　官邸。45分　丸川広報本部長、丹羽広報戦略局長。▽16時1分　和泉補佐官、外務省の秋葉次官、森外務審議官。▽17時14分　農水省の枝元次官、塩川食料産業局長。▽18時26分　衆院第2議員会館。50分　東京・内幸町の鉄板焼き店「若会席　大和館」。菅事務所の職員と食事。▽20時43分　東京・赤坂の衆院議員宿舎。 
2020-10-01,202010.0,2020,10,1,202010.0,2020-10,2020-Oct,Yoshihide_Suga,No,YES!,No,No,YES!,No,10月1日,▽6時40分　東京・赤坂の衆院議員宿舎発。44分　官邸。官邸の敷地内を散歩。▽7時28分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で秘書官と食事。▽8時41分　衆院第2議員会館。43分　山口選対委員長。59分　官邸。▽9時19分　村岡敏英前衆院議員。46分　和泉補佐官、吉田新型コロナウイルス感染症対策推進室長、厚労省の樽見次官、福島医務技監、田中職業安定局長。▽10時45分　日本医師会の中川俊男会長、今村聡、松原謙二、猪口雄二各副会長。▽11時2分　北村国家安全保障局長、和泉補佐官、水嶋外務省領事局長。21分　島尻安伊子党沖縄県第3選挙区支部長。40分　衆院第1議員会館。41分　安倍前首相。54分　官邸。55分　報道各社のインタビュー。▽14時2分　農林水産物・食品の輸出拡大のための輸入国規制への対応等に関する関係閣僚会議。49分　東京・永田町の中央合同庁舎8号館。井上万博相と国際博覧会推進本部事務局の看板掛け。職員に訓示。加藤官房長官同席。58分　官邸。▽15時45分　相川一俊駐イラン大使らのあいさつ。52分　柿崎補佐官に辞令交付。▽16時2分　国家安全保障局長、滝沢内閣情報官、防衛省の岡防衛政策局長、山崎統合幕僚長。16分　秋葉外務次官。27分　佐藤総務会長。▽18時17分　衆院第2議員会館。▽19時3分　東京・銀座の稲庭うどん・秋田郷土料理店「銀座佐藤養助」。園田修光参院議員、柿崎補佐官と会食。▽20時22分　東京・赤坂の衆院議員宿舎。 
2020-10-02,202010.0,2020,10,2,202010.0,2020-10,2020-Oct,Yoshihide_Suga,No,YES!,No,No,YES!,No,10月2日,▽6時40分　東京・赤坂の衆院議員宿舎発。44分　官邸。官邸の敷地内を散歩。▽7時30分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。レストラン「オーキッド」で坂井官房副長官と会食。▽8時41分　衆院第2議員会館。▽9時1分　官邸。▽10時2分　閣議。12分　麻生財務相。17分　武田総務相。32分　内閣府の山崎次官、田和内閣府審議官、林、井上、籠宮各政策統括官。▽12時　山口那津男公明党代表。▽14時5分　鈴木駐トルコ大使、山本駐トルクメニスタン大使らの新任あいさつ。21分　拉致問題に関するビデオメッセージ収録。50分　財務省の太田次官、矢野主計局長。▽16時11分　梶山経産相、鈴木外務審議官、大沢農水審議官、経産省の安藤次官、田中経産審議官、荒井総括審議官。38分　経産相、経産省の次官、総括審議官、飯田資源エネルギー庁次長。▽17時12分　滝沢内閣情報官。▽18時5分　報道各社のインタビュー。7分　衆院第2議員会館。28分　東京・永田町のザ・キャピトルホテル東急。中国料理店「星ケ岡」で官房長官時代の秘書官と食事。▽20時22分　東京・赤坂の衆院議員宿舎。 
2020-10-03,202010.0,2020,10,3,202010.0,2020-10,2020-Oct,Yoshihide_Suga,No,YES!,No,No,No,No,10月3日,▽7時12分　東京・赤坂の衆院議員宿舎発。24分　東京・神宮前のレストラン「Ｅｇｇｓ　’ｎ　Ｔｈｉｎｇｓ原宿店」。報道各社の首相番記者と懇談。▽9時16分　東京・四谷の迎賓館赤坂離宮前休憩所。22分　周辺を散歩。▽10時8分　東京・赤坂の衆院議員宿舎。▽12時17分　東京・永田町のザ・キャピトルホテル東急。レストラン「ＯＲＩＧＡＭＩ」で田野岡由紀子認定こども園山王台幼稚園・風の子こども園園長と会食。▽14時　東京・東新橋の電通本社ビル。党広報用の写真撮影。丸川広報本部長同席。▽15時45分　東京・赤坂の衆院議員宿舎。 
2020-10-04,202010.0,2020,10,4,202010.0,2020-10,2020-Oct,Yoshihide_Suga,No,No,No,No,No,No,10月4日,　午前中は東京・赤坂の衆院議員宿舎で過ごす。▽12時46分　衆院議員宿舎発。51分　東京・永田町のザ・キャピトルホテル東急。53分　レストラン「ＯＲＩＧＡＭＩ」で宮家邦彦キヤノングローバル戦略研究所研究主幹。▽14時15分　認定ＮＰＯ法人「ＡＣＥ」の岩附由香代表、認定ＮＰＯ法人「難民支援協会」の石川えり代表理事ら。▽15時26分　反町理フジテレビ報道局解説委員長。▽16時1分　ジャーナリストの田原総一朗氏、船橋洋一アジア・パシフィック・イニシアティブ理事長。40分　「ザ・キャピトル　フィットネスクラブ」で運動。▽19時12分　東京・赤坂の衆院議員宿舎。 
2020-10-05,202010.0,2020,10,5,202010.0,2020-10,2020-Oct,Yoshihide_Suga,No,YES!,No,No,YES!,No,10月5日,▽6時44分　東京・赤坂の衆院議員宿舎発。47分　官邸。官邸の敷地内を散歩。▽7時33分　東京・虎ノ門のホテル「Ｔｈｅ　Ｏｋｕｒａ　Ｔｏｋｙｏ」。レストラン「オーキッド」で北尾吉孝ＳＢＩホールディングス社長と会食。▽8時46分　衆院第2議員会館。59分　官邸。▽9時43分　前田晃伸ＮＨＫ会長。59分　和泉補佐官、経産省の安藤次官、荒井総括審議官、資源エネルギー庁の保坂長官、飯田次長。▽11時32分　高橋誠一全国賃貸管理ビジネス協会会長。56分　東京・永田町のザ・キャピトルホテル東急。中国料理店「星ケ岡」で秘書官と食事。▽12時47分　衆院第2議員会館。▽13時3分　官邸。51分　中曽根弘文参院議員。▽14時53分　野田毅衆院議員。▽15時12分　経産省主催の「ＴＣＦＤ（気候関連財務情報開示タスクフォース）サミット2020」向けのビデオメッセージ収録。▽16時8分　北村国家安全保障局長。32分　フランスのマクロン大統領と電話。▽17時30分　内閣記者会加盟報道各社のグループインタビュー。▽18時32分　ザ・キャピトルホテル東急。中国料理店「星ケ岡」で官邸職員と食事。▽19時58分　衆院第2議員会館。▽20時46分　東京・赤坂の衆院議員宿舎。 
