PM,haircut,walking,golf,massage,interview,air_force_one,term_days,freq_haircut,freq_walking,freq_golf,freq_massage,freq_interview,freq_air_force_one
Fumio_Kishida,41,0,4,9,255,52,635,23.566929133858267,0.0,2.2992125984251968,5.173228346456693,146.5748031496063,29.88976377952756
Shinzo_Abe,93,16,107,1,751,292,2822,12.028703047484054,2.069454287739192,13.839475549255848,0.1293408929836995,97.13501063075833,37.767540751240254
Yoshihide_Suga,12,199,1,2,135,13,384,11.40625,189.15364583333331,0.9505208333333333,1.9010416666666665,128.3203125,12.356770833333332
