,PM,date,publish_date,activities
23,Shinzo_Abe,1月19日,2013-01-20,▽3時54分　政府専用機で羽田空港着。▽4時28分　官邸で菅官房長官、加藤、世耕両官房副長官、河相外務次官ら。菅長官が残る。▽6時1分　在アルジェリア邦人拘束事件対策本部会議。続いて報道各社のインタビュー。▽6時23分　危機管理センター。▽7時15分　富ケ谷の私邸着。▽17時46分　官邸で加藤、杉田両副長官、米村危機管理監、北村情報官、外務省の斎木外務審議官、平松総合外交政策局長。▽18時　キャメロン英首相と電話。この後、報道各社のインタビュー。▽18時30分　ザ・キャピトルホテル東急で山口公明党代表。▽18時50分　同ホテルの日本料理店「水簾」で渡辺みんなの党代表、塩崎政調会長代理、高橋洋一嘉悦大教授ら。▽21時14分　官邸で加藤副長官、斎木外務審議官、平松総合外交政策局長。▽21時25分　ノルウェーのストルテンベルグ首相と電話。 
24,Shinzo_Abe,1月20日,2013-01-21,▽0時30分　官邸でアルジェリアのセラル首相と電話。この後、報道各社のインタビュー。▽1時6分　富ケ谷の私邸着。▽9時19分　私邸発。▽10時2分　官邸で在アルジェリア邦人拘束事件対策本部会議。続いて報道各社のインタビュー。▽10時37分　防衛省で殉職隊員慰霊碑に献花。この後、栄誉礼、儀仗（ぎじょう）。▽11時5分　ゴラン高原派遣輸送隊隊旗返還式。続いて小野寺防衛相、石破幹事長ら。中央指揮所を視察。▽13時29分　官邸で岸田外相、外務省の河相次官、伊原北米局長ら。▽14時15分　米村危機管理監、北村情報官、河相次官、斎木外務審議官ら。▽15時11分　私邸着。▽16時48分　私邸発。▽17時12分　公邸で石破幹事長。▽18時45分　フランスのオランド大統領と電話。▽19時3分　麻生財務相、財務省の真砂次官、木下主計局長、田中主税局長、古沢理財局長ら。財務相、次官、田中局長が残る。▽20時11分　私邸着。 
26,Shinzo_Abe,1月22日,2013-01-23,▽9時　富ケ谷の私邸発。▽9時32分　党本部で党役員会。▽10時3分　官邸で閣議。この後、西川法務次官。▽11時5分　安達経産次官、高原資源エネルギー庁長官。入れ替わりに佐藤国交次官。▽14時8分　下村文科相、山中文科審議官ら。この後、山口経理局長。▽14時41分　麻生財務相、甘利経財相、白川日銀総裁。菅官房長官が同席。続いて報道各社のインタビュー。▽15時　党本部で全国幹事長会議。▽15時43分　官邸で厚労省の金子次官、岡崎職業安定局長、村木社会・援護局長。▽16時25分　経財相。続いて鈴木外務副大臣、平松外務省総合外交政策局長。▽18時12分　経済財政諮問会議。▽21時54分　六本木のテレビ朝日で番組に出演。▽23時3分　私邸着。 
28,Shinzo_Abe,1月24日,2013-01-25,▽8時16分　富ケ谷の私邸発。▽8時33分　官邸で稲田行革相。▽9時15分　規制改革会議。続いて前田スイス兼リヒテンシュタイン大使ら。▽10時2分　教育再生実行会議。▽11時35分　共同通信のインタビュー。▽12時6分　山本宇宙政策担当相。▽13時　麻生財務相、財務省の真砂次官、田中主税局長。古沢理財局長が加わる。入れ替わりに甘利経済再生相、松元内閣府次官、松山内閣府審議官ら。▽13時59分　麻布台の霊友会釈迦殿で「いんなあとりっぷ新春懇話会」。▽14時31分　党本部で都議選立候補予定者。石破幹事長が同席。▽15時10分　官邸で北村情報官。この後、井上弘民放連会長ら。▽15時47分　川口党沖縄振興調査会長、額賀元財務相。入れ替わりに財務相、財務次官、木下財務省主計局長。▽16時31分　「世界青年の船」事業参加青年代表ら。▽17時3分　経済財政諮問会議。続いて臨時閣議。▽18時17分　経済再生相。この後、茂木経産相。▽19時43分　公邸で木村、礒崎、衛藤各補佐官。▽21時34分　私邸着。 
29,Shinzo_Abe,1月25日,2013-01-26,▽8時6分　富ケ谷の私邸発。▽8時22分　官邸で根本復興相。入れ替わりに岸田外相、鈴木外務副大臣、河相外務次官。続いて在アルジェリア邦人拘束事件対策本部会議。▽9時16分　安全保障会議。この後、宇宙開発戦略本部。▽10時2分　閣議。続いて拉致問題対策本部。この後、日本経済再生本部。▽11時8分　田中原子力規制委員長、池田原子力規制庁長官ら。▽12時　山本衆院予算委員長。この後、菅官房長官。▽13時31分　杉田官房副長官。新藤総務相が続く。▽14時2分　報道各社の論説委員、テレビ各社の解説委員、内閣記者会と相次ぎ懇談。▽16時10分　毎日新聞のインタビュー。入れ替わりに米田、片桐新旧警察庁長官。▽17時　西村、樋口新旧警視総監。この後、北村情報官。▽17時25分　小野寺防衛相、西防衛省防衛政策局長、君塚陸上幕僚長。続いて和泉補佐官、藤井内閣参与。▽18時30分　ドイツのメルケル首相と電話。▽19時16分　公邸で浜田、本田両内閣参与。▽20時51分　伊原外務省北米局長、桜井官房副長官補。▽21時57分　私邸着。 
30,Shinzo_Abe,1月26日,2013-01-27,▽8時39分　富ケ谷の私邸発。▽8時50分　信濃町の慶応大病院で人間ドック。▽14時29分　私邸着。▽15時12分　渋谷区宇田川町のＮＨＫインターナショナルのスタジオから世界経済フォーラム年次総会（ダボス会議）関連会合に中継で参加。▽15時57分　公邸で公明党の山口代表、石井政調会長、西田参院国対委員長。▽16時21分　城内外務政務官。菅、杉田正副官房長官、米村危機管理監らが同席。続いて公邸前で報道各社のインタビュー。▽17時14分　私邸着。 
35,Shinzo_Abe,1月31日,2013-02-01,▽7時51分　富ケ谷の私邸発。▽8時5分　官邸着。▽10時1分　参院本会議。▽11時33分　官邸着。▽13時　北村情報官。▽14時2分　衆院本会議。▽16時22分　官邸着。▽17時2分　臨時閣議。続いて山本沖縄・北方相、井上源三内閣府政策統括官ら。▽17時49分　山口財務副大臣。入れ替わりに山岸憲司日弁連会長。▽18時28分　スポーツ新聞各社のインタビュー。▽19時　公邸で公明党の山口代表、斉藤幹事長代行ら。菅官房長官らが同席。▽20時50分　私邸着。 
37,Shinzo_Abe,2月2日,2013-02-03,▽6時52分　富ケ谷の私邸発。▽7時34分　空自Ｕ4多用途支援機で羽田空港発。山本沖縄・北方相、世耕官房副長官が同行。▽10時24分　那覇市の空自那覇基地着。同基地内で陸海空各自衛隊部隊を視察、激励。▽11時24分　糸満市の平和祈念公園内の国立沖縄戦没者墓苑、防長英霊の塔で献花。平和の礎を視察。▽12時39分　那覇市のＡＮＡクラウンプラザホテル沖縄ハーバービューで仲井真沖縄県知事。沖縄・北方相、世耕副長官らが同席。仲井真知事が残る。▽13時42分　報道各社のインタビュー。▽13時49分　同市の沖縄県警本部で警察官らを激励。▽15時9分　恩納村の沖縄科学技術大学院大学を視察。▽16時47分　宜野湾市の嘉数高台公園から米軍普天間基地を視察。▽17時43分　那覇市の那覇新港で巡視船「もとぶ」を視察、訓示。▽18時25分　那覇基地内で国場幸之助、比嘉奈津美、宮崎政久各衆院議員ら。▽19時5分　空自Ｕ4多用途支援機で同基地発。▽20時56分　羽田空港着。▽21時35分　私邸着。 
44,Shinzo_Abe,2月9日,2013-02-10,▽6時39分　富ケ谷の私邸発。▽7時4分　はやて351号でＪＲ東京駅発。▽9時13分　ＪＲ一ノ関駅着。▽10時46分　岩手県陸前高田市の「道の駅高田松原」の追悼施設で献花。根本復興相、達増岩手県知事らが同行。▽11時12分　同市の造成工事現場を視察。▽11時44分　岩手県大船渡市の災害公営住宅の建設現場を視察。▽12時3分　同市の日本料理店「活魚すごう」で昼食。▽13時　同市の酒造会社「酔仙酒造」を視察。▽13時35分　同市の菓子製造販売「さいとう製菓」を視察。▽14時27分　陸前高田市の「竹駒町滝の里仮設住宅」で入居者と懇談。続いて、報道各社のインタビュー。▽15時53分　宮城県気仙沼市の気仙沼漁業協同組合製氷工場を視察。小野寺防衛相が同行。▽18時6分　はやて112号でＪＲ一ノ関駅発。▽20時24分　ＪＲ東京駅着。▽20時42分　私邸着。 
46,Shinzo_Abe,2月11日,2013-02-13,〈11日〉　午前中は富ケ谷の私邸で過ごす。▽12時20分　ＡＮＡインターコンチネンタルホテル東京で大橋洋治全日空会長、ワインスタイン米ハドソン研究所最高経営責任者（ＣＥＯ）ら。▽14時18分　赤坂御用地の高円宮邸で記帳。▽14時41分　私邸着。〈12日〉▽6時47分　私邸発。▽7時2分　官邸で加藤官房副長官。▽8時27分　国会内で閣議。▽8時59分　衆院予算委。▽12時31分　官邸で経団連の米倉会長、日本商工会議所の岡村会頭、経済同友会の長谷川代表幹事ら。麻生副総理らが同席。▽12時47分　安全保障会議。続いて報道各社のインタビュー。▽13時11分　衆院予算委。▽17時19分　官邸でルース駐日米大使。入れ替わりに北村情報官。▽17時56分　財務省の真砂次官、中尾財務官。▽18時38分　ホテルニューオータニで公明党の漆原国対委員長のパーティー。▽19時　紀尾井町の日本料理店「福田家」で新日鉄住金の今井名誉会長、国際協力銀行の奥田総裁ら。▽20時30分　私邸着。 
